name,district,taluka,facility_type,latitude,longitude,emergency_beds,icu_beds,trauma_capacity,ownership,status,source_name,source_url,trust_level,last_verified
Lahore Central Hospital 01 (DEMO),Lahore,Lahore,Tertiary Care Hospital,31.56852,74.349502,60,8,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Lahore General Hospital 02 (DEMO),Lahore,Lahore,General Hospital,31.566267,74.357155,25,6,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Lahore Trauma Center 03 (DEMO),Lahore,Lahore,Trauma Center,31.542915,74.354579,20,10,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Lahore Medical Center 04 (DEMO),Lahore,Lahore,General Hospital,31.56389,74.3303,80,15,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Rawalpindi Medical Center 01 (DEMO),Rawalpindi,Rawalpindi,General Hospital,33.563551,73.033656,80,20,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Rawalpindi Trauma Center 02 (DEMO),Rawalpindi,Rawalpindi,Trauma Center,33.554189,73.010994,40,20,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Rawalpindi General Hospital 03 (DEMO),Rawalpindi,Rawalpindi,General Hospital,33.580163,72.99882,80,6,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Rawalpindi Central Hospital 04 (DEMO),Rawalpindi,Rawalpindi,Tertiary Care Hospital,33.583806,73.019627,60,10,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Faisalabad Central Hospital 01 (DEMO),Faisalabad,Faisalabad,Tertiary Care Hospital,31.463556,73.12364,30,4,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Faisalabad Trauma Center 02 (DEMO),Faisalabad,Faisalabad,Trauma Center,31.466235,73.154231,20,6,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Faisalabad Trauma Center 03 (DEMO),Faisalabad,Faisalabad,Trauma Center,31.4505,73.121789,20,10,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
